sellers;sku_sap;Stock Seg;warehouse
E599;1263986;0;0003
E643;1263986;4;
E520;1263986;4;
E592;1263986;4;
E775;1263986;4;
E517;1263986;4;
E529;1263986;4;
E511;1277517;4;
E643;1277517;4;
E585;1277517;4;
E507;1277517;4;
E520;1277517;4;
E534;1277517;4;
E874;1277517;4;
E506;1277517;4;
E512;1277517;4;
E748;1277517;4;
E781;1277517;4;
E508;1277517;4;
E592;1277517;4;
E503;1277517;4;
E775;1277517;4;
E646;1277517;4;
E760;1277517;4;
E983;1277517;4;
E513;1277517;4;
E518;1277517;4;
E900;1277517;4;
E990;1277517;4;
E843;1277517;4;
E502;1277517;4;
E514;1277517;4;
E524;1277517;4;
E655;1277517;4;
E614;1277517;4;
E591;1277517;4;
E619;1277517;4;
E659;1277517;4;
E521;1277517;4;
E504;1277517;4;
E510;1277517;4;
E517;1277517;4;
E879;1277517;4;
E525;1277517;4;
E633;1277517;4;
E522;1277517;4;
E988;1277517;4;
E529;1277517;4;
E511;1277518;4;
E643;1277518;4;
E585;1277518;4;
E507;1277518;4;
E520;1277518;4;
E534;1277518;4;
E874;1277518;4;
E506;1277518;4;
E512;1277518;4;
E748;1277518;4;
E781;1277518;4;
E508;1277518;4;
E592;1277518;4;
E503;1277518;4;
E775;1277518;4;
E646;1277518;4;
E760;1277518;4;
E983;1277518;4;
E513;1277518;4;
E518;1277518;4;
E900;1277518;4;
E990;1277518;4;
E843;1277518;4;
E502;1277518;4;
E514;1277518;4;
E524;1277518;4;
E655;1277518;4;
E614;1277518;4;
E591;1277518;4;
E619;1277518;4;
E659;1277518;4;
E521;1277518;4;
E504;1277518;4;
E510;1277518;4;
E517;1277518;4;
E879;1277518;4;
E525;1277518;4;
E633;1277518;4;
E522;1277518;4;
E988;1277518;4;
E529;1277518;4;
